Product Name,Price,Rating,Number of Ratings,Number of Reviews,Review Summary,Review Details
Lenovo Lenovo Legion Slim 5 AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Hom...,"₹1,11,990",4,4,0,,
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,04,990",4.4,85,7,"['Mind-blowing purchase', 'Wonderful', 'Awesome', 'Delightful', 'Absolute rubbish!', 'Worth the money', 'Did not meet expectations']","['Absolute gemREAD MORE', 'Nice beastREAD MORE', ""One word, Beast! But don't except much on battery!READ MORE"", 'Awesome LaptopREAD MORE', ""1 star rating is for Flipkart's smart upgrade plan under which I bought the Lenovo laptop. I have no issues with the laptop however have issues with the plan. It's utterly a useless plan by Flipkart. Please scrap it and will request users to not subscribe to it.READ MORE"", 'Awesome productREAD MORE', 'The speaker 🔊 is not workingREAD MORE']"
Lenovo Legion Intel Core i9 14th Gen 14900HX - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA G...,"₹3,72,490",No rating available,No ratings,No reviews,,
Lenovo Lenovo Legion Slim 5 AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/...,"₹1,15,990",3.3,3,1,['Terrific'],['Excellent in all respects.READ MORE']
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹99,990",4.3,92,18,"['Good quality product', 'Highly recommended', 'Worth every penny', 'Classy product', 'Good choice', 'Wonderful', 'Delightful', 'Really Nice', 'Must buy!', 'Really Nice']","[""Very powerful gaming machine, but I highly recommend u to use cooling pads, as temperature rise above 100degrees .I was playing uncharted 4 in highest possible settings, I could easily get 60+ fps, but the CPU temp reached 100degrees.Another thing I noticed is the hinges are poor quality,i don't get the robust feel in it, it's been just 1 month and the hinges feel like I have opened and closed it for years and made it looseREAD MORE"", 'its just a beastREAD MORE', ""It's an amazing product. I loved it ... It has better capacity to handle multiple tasking.READ MORE"", 'Value For Money 😁READ MORE', 'Excellent product great performance and build quality. I wish they could have packed this device with a 1tb SSD. Otherwise, I am satisfied with this productREAD MORE', 'Great product at this price. I have been an Intel user since long and this is my first AMD laptop. It seriously packs a good punch when it comes to gaming. RTX 3060 with a 165 hz screen and 16GB ram works like a charm. No major heating issues as the fans work well. Have been playing God of War, AC Valhalla on Ultra and it is smooth. Only con I noticed is the sound by Nahimic is pretty low and you have literally put it on full volume. Also storage is 512GB SSD which is a downgrade for laptops...READ MORE', 'It is a lovely looking machine  ....but it is too early to say anything about it is performance and hardware.READ MORE', 'This is really good machine for any work but you have any heavy graphic design work or your first priority is for gaming then you should go for this laptop. You will never disappoint about your purchase...👍READ MORE', 'Great Laptop with top of the line specs got it for around 84k by exchanging old Dell laptop. If you got editing and graphic designing work and if you use blender and premiere pro just go for it! Really a great machineREAD MORE', 'This is a beast of a laptop. Really satisfied with purchaseREAD MORE']"
Lenovo Lenovo Legion Slim 5 AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Hom...,"₹99,990",4.8,5,0,,
Lenovo Lenovo Legion Slim 5 AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Hom...,"₹1,11,990",4,4,0,,
Lenovo Legion Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,"₹1,44,990",No rating available,No ratings,No reviews,,
Lenovo Legion Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,"₹1,54,990",No rating available,No ratings,No reviews,,
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,"₹1,15,990",4.4,65,7,"['Simply awesome', 'Worth every penny', 'Terrific', 'Nice', 'Mind-blowing purchase', 'Perfect product!', 'Nice']","[""Product is GREAT! Few thing buyers should note.*  It supports NVMe Drive, it has two slots for NVMe and each slot supports upto 1 TB.(4 Star)* It comes with McAfee 30 Days Trial.(1 Star)* The device is super duper fast.(5 Star)* It has got 2 RAM slots(supports DDR4 max frequency 3200 MHz).(5 Star)* It comes with 16 GB DDR4 RAM(8 GB each slot) with frequency of 3200 MHz, it's enough for every peak level of processing task.(5 Star)* RAM can be upgraded upto 32 GB(16 GB each slot).(5 Star...READ MORE"", 'Totally worth for the money i got it for 73k No issues no lags no problem at all thermal are very good Satisfied with the purchaseREAD MORE', 'This product is amazing and I will definitely suggest this product for my friends. As this product is preety expensive for me so I had been researching other company laptops almost for 5 months and in the last I decided to purchase this laptop and believe me it is best for 81000  budget.READ MORE', 'Sooper performanceREAD MORE', 'First day review : overall good. Camera eshutter is nice. Packed well. Seems the warranty started 4 months ago. Using lenovo id corrected the purchase date.Waitingbfor another 24 hours to get it reflectedREAD MORE', ""Simply it's goodREAD MORE"", 'Camera is 3rd class. Not recommended. Speaker has low sound.READ MORE']"
Lenovo Legion 7i Intel Core i7 10th Gen 10875H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA ...,"₹1,93,191",2.3,4,0,,
